pert_id	cell_iname	pert_type	compound_id	drug_id
BRD-K79602928	U2OS	trt_cp	BRD-K79602928__U2OS__trt_cp	metformin
BRD-K32744045	SHSY5Y	trt_cp	BRD-K32744045__SHSY5Y__trt_cp	disulfiram
BRD-A64485570	MCF10A	trt_cp	BRD-A64485570__MCF10A__trt_cp	trifluridine
BRD-K17084514	PC3	trt_cp	BRD-K17084514__PC3__trt_cp	diethylstilbestrol
BRD-K13688115	PC3	trt_cp	BRD-K13688115__PC3__trt_cp	medrysone
BRD-K44004064	MCF7	trt_cp	BRD-K44004064__MCF7__trt_cp	acefylline
BRD-K60907894	MCF7	trt_cp	BRD-K60907894__MCF7__trt_cp	adiphenine
BRD-K00673382	MCF7	trt_cp	BRD-K00673382__MCF7__trt_cp	famotidine
BRD-K70592963	MCF7	trt_cp	BRD-K70592963__MCF7__trt_cp	phenindione
BRD-K18895904	NPC	trt_cp	BRD-K18895904__NPC__trt_cp	olanzapine
BRD-M72681210	PC3	trt_cp	BRD-M72681210__PC3__trt_cp	physostigmine
BRD-K74148702	NPC	trt_cp	BRD-K74148702__NPC__trt_cp	curcumin
BRD-K99792991	NEU	trt_cp	BRD-K99792991__NEU__trt_cp	hexachlorophene
BRD-K12184470	MCF7	trt_cp	BRD-K12184470__MCF7__trt_cp	flunarizine
BRD-A79672927	MCF7	trt_cp	BRD-A79672927__MCF7__trt_cp	tropicamide
BRD-K92923799	MCF7	trt_cp	BRD-K92923799__MCF7__trt_cp	digitoxigenin
BRD-K14036801	MCF7	trt_cp	BRD-K14036801__MCF7__trt_cp	roxithromycin
BRD-A14240607	NEU	trt_cp	BRD-A14240607__NEU__trt_cp	octopamine
BRD-K53972329	NPC	trt_cp	BRD-K53972329__NPC__trt_cp	ruxolitinib
BRD-K19687926	SKBR3	trt_cp	BRD-K19687926__SKBR3__trt_cp	lapatinib
BRD-K10843433	HUH7	trt_cp	BRD-K10843433__HUH7__trt_cp	phenylbutazone
BRD-K93332168	PC3	trt_cp	BRD-K93332168__PC3__trt_cp	isocarboxazid
BRD-K88365400	PC3	trt_cp	BRD-K88365400__PC3__trt_cp	viomycin
BRD-A17462676	HUH7	trt_cp	BRD-A17462676__HUH7__trt_cp	bambuterol
BRD-M43490210	HUH7	trt_cp	BRD-M43490210__HUH7__trt_cp	oxaliplatin
BRD-A90490067	NPC	trt_cp	BRD-A90490067__NPC__trt_cp	fulvestrant
BRD-K12184916	NEU	trt_cp	BRD-K12184916__NEU__trt_cp	dactolisib
BRD-K21815137	MCF7	trt_cp	BRD-K21815137__MCF7__trt_cp	cefotiam
BRD-A47494775	PC3	trt_cp	BRD-A47494775__PC3__trt_cp	dipivefrin
BRD-K98174813	MCF7	trt_cp	BRD-K98174813__MCF7__trt_cp	chlorzoxazone
BRD-K01188359	PHH	trt_cp	BRD-K01188359__PHH__trt_cp	vinblastine
BRD-A13982089	NEU	trt_cp	BRD-A13982089__NEU__trt_cp	ephedrine
BRD-A93000692	NEU	trt_cp	BRD-A93000692__NEU__trt_cp	ciglitazone
BRD-A93255169	NEU	trt_cp	BRD-A93255169__NEU__trt_cp	thalidomide
BRD-A17828570	PC3	trt_cp	BRD-A17828570__PC3__trt_cp	fulvestrant
BRD-K39987650	PC3	trt_cp	BRD-K39987650__PC3__trt_cp	bisacodyl
BRD-A10606614	MCF7	trt_cp	BRD-A10606614__MCF7__trt_cp	talampicillin
BRD-K32501161	NEU	trt_cp	BRD-K32501161__NEU__trt_cp	vanoxerine
BRD-K00673382	HUH7	trt_cp	BRD-K00673382__HUH7__trt_cp	famotidine
BRD-K34730807	HUH7	trt_cp	BRD-K34730807__HUH7__trt_cp	levodopa
BRD-A43882281	HUH7	trt_cp	BRD-A43882281__HUH7__trt_cp	pinacidil
BRD-K01638814	HUH7	trt_cp	BRD-K01638814__HUH7__trt_cp	rilmenidine
BRD-K86003836	HUH7	trt_cp	BRD-K86003836__HUH7__trt_cp	flubendazole
BRD-K37130586	PC3	trt_cp	BRD-K37130586__PC3__trt_cp	olopatadine
BRD-K96123349	MCF7	trt_cp	BRD-K96123349__MCF7__trt_cp	brequinar
BRD-K12515392	HUH7	trt_cp	BRD-K12515392__HUH7__trt_cp	vinblastine
BRD-A70083328	HUH7	trt_cp	BRD-A70083328__HUH7__trt_cp	secnidazole
BRD-K52827117	HUH7	trt_cp	BRD-K52827117__HUH7__trt_cp	aprepitant
BRD-K39252998	SHSY5Y	trt_cp	BRD-K39252998__SHSY5Y__trt_cp	atipamezole
BRD-K12184470	PC3	trt_cp	BRD-K12184470__PC3__trt_cp	flunarizine
BRD-K10314788	MCF7	trt_cp	BRD-K10314788__MCF7__trt_cp	meclofenoxate
BRD-K37865504	HEPG2	trt_cp	BRD-K37865504__HEPG2__trt_cp	ly-2183240
BRD-K41599323	MCF10A	trt_cp	BRD-K41599323__MCF10A__trt_cp	lonafarnib
BRD-K22429181	NPC	trt_cp	BRD-K22429181__NPC__trt_cp	vitamin a
BRD-K21401044	PC3	trt_cp	BRD-K21401044__PC3__trt_cp	danazol
BRD-M34926192	PC3	trt_cp	BRD-M34926192__PC3__trt_cp	guanadrel
BRD-K62012036	NPC	trt_cp	BRD-K62012036__NPC__trt_cp	acitretin
BRD-A17883755	NPC	trt_cp	BRD-A17883755__NPC__trt_cp	lenalidomide
BRD-K29673530	A549	trt_cp	BRD-K29673530__A549__trt_cp	hypericin
BRD-A54635441	MCF7	trt_cp	BRD-A54635441__MCF7__trt_cp	levopropoxyphene
BRD-K00198051	PC3	trt_cp	BRD-K00198051__PC3__trt_cp	zuclopenthixol
BRD-A46335897	HUH7	trt_cp	BRD-A46335897__HUH7__trt_cp	promethazine
BRD-K11905747	HUH7	trt_cp	BRD-K11905747__HUH7__trt_cp	spectinomycin
BRD-K72903603	HUH7	trt_cp	BRD-K72903603__HUH7__trt_cp	zidovudine
BRD-K25075681	NPC	trt_cp	BRD-K25075681__NPC__trt_cp	meclinertant
BRD-K71799949	HPTEC	trt_cp	BRD-K71799949__HPTEC__trt_cp	carbamazepine
BRD-K00959089	NPC	trt_cp	BRD-K00959089__NPC__trt_cp	thenoyltrifluoroacetone
BRD-K51207550	MCF7	trt_cp	BRD-K51207550__MCF7__trt_cp	ethionamide
BRD-K21680192	PHH	trt_cp	BRD-K21680192__PHH__trt_cp	mitoxantrone
BRD-K33882852	PHH	trt_cp	BRD-K33882852__PHH__trt_cp	zk-93423
BRD-K21283037	NEU	trt_cp	BRD-K21283037__NEU__trt_cp	riluzole
BRD-K06388322	NPC	trt_cp	BRD-K06388322__NPC__trt_cp	pramipexole
BRD-K78643075	MCF7	trt_cp	BRD-K78643075__MCF7__trt_cp	bromperidol
BRD-K71696703	PC3	trt_cp	BRD-K71696703__PC3__trt_cp	triflusal
BRD-A39189014	PC3	trt_cp	BRD-A39189014__PC3__trt_cp	methoxamine
BRD-K49685476	NPC	trt_cp	BRD-K49685476__NPC__trt_cp	arotinoid acid
BRD-K25394294	MCF7	trt_cp	BRD-K25394294__MCF7__trt_cp	oxaprozin
BRD-A19500257	CD34	trt_cp	BRD-A19500257__CD34__trt_cp	geldanamycin
BRD-A41304429	HUH7	trt_cp	BRD-A41304429__HUH7__trt_cp	practolol
BRD-K71879491	HUH7	trt_cp	BRD-K71879491__HUH7__trt_cp	tretinoin
BRD-A33447119	HUH7	trt_cp	BRD-A33447119__HUH7__trt_cp	oxfendazole
BRD-A10070317	HUH7	trt_cp	BRD-A10070317__HUH7__trt_cp	propranolol
BRD-K30984264	U2OS	trt_cp	BRD-K30984264__U2OS__trt_cp	harmine
BRD-K73255294	HEPG2	trt_cp	BRD-K73255294__HEPG2__trt_cp	nutlin-3
BRD-A79803969	MCF7	trt_cp	BRD-A79803969__MCF7__trt_cp	memantine
BRD-K22503835	MCF7	trt_cp	BRD-K22503835__MCF7__trt_cp	scriptaid
BRD-K39716612	PC3	trt_cp	BRD-K39716612__PC3__trt_cp	fluvastatin
BRD-K75641298	HUH7	trt_cp	BRD-K75641298__HUH7__trt_cp	metoclopramide
BRD-K76534306	HUH7	trt_cp	BRD-K76534306__HUH7__trt_cp	enrofloxacin
