pert_id	drug_id
BRD-K38159897	chenodeoxycholic-acid
BRD-K56483981	chicago-sky-blue-6b
BRD-K08111712	chloramphenicol
BRD-K22969690	chloramphenicol
BRD-A51182606	chloramphenicol
BRD-A01593789	chlormadinone-acetate
BRD-K89595132	chlorphenamine
BRD-A04553218	chlorphenamine
BRD-A09073503	chlorpromazine
BRD-K40367460	chlorpromazine
BRD-A94494639	chlorpromazine
BRD-K89997465	chlorpromazine
BRD-K51073125	chlorpromazine
BRD-K59058766	chlorprothixene
BRD-K81091703	chlorprothixene
BRD-A26384407	chlortalidone
BRD-K27911943	chromanol-293B-(-)-[3R,4S]
BRD-A11702965	chromomycin-a3
BRD-K53263234	CITCO
BRD-K49668410	clarithromycin
BRD-K16762525	clarithromycin
BRD-K17850764	cloprostenol-(+/-)
BRD-K90864987	cobalt(II)-chloride
BRD-K61195623	combretastatin-A-4
BRD-K73589401	corticosterone
BRD-K29731656	corticosterone
BRD-K18190982	COT-10b
BRD-K40331046	CR8-(R)
BRD-K43234716	CTPB
BRD-A49680073	cucurbitacin-i
BRD-A28105619	cucurbitacin-i
BRD-K00088062	cyanoquinoline-11
BRD-K95992530	cyclo-[Arg-Gly-Asp-D-Phe-Val]
BRD-K87226815	cycloserine-(d)
BRD-K59573506	cyproterone-acetate
BRD-A95207036	cyproterone-acetate
BRD-K47000838	cytochalasin-b
BRD-K26664453	cytochalasin-b
BRD-A77118605	D-609
BRD-K53888148	DASB
BRD-K90976994	dehydrocholic-acid
BRD-K09129322	dehydrocholic-acid
BRD-K12567312	dehydroisoandosterone
BRD-K96527333	dehydroisoandosterone
BRD-K41170226	deoxycholic-acid
BRD-A08027849	deoxycholic-acid
BRD-K63835783	desmethyl-DASB
BRD-K30697463	desoximetasone
BRD-A49447682	desoximetasone
BRD-K07265709	razoxane
BRD-K24053527	dextromethorphan
BRD-K33211335	dextromethorphan
BRD-K82002057	DFB
BRD-A27143604	dpn
BRD-A95074085	dibutyryl-cAMP-Na
BRD-K45330754	diethylstilbestrol
BRD-K17084514	diethylstilbestrol
BRD-K20152659	dihomo-gamma-linolenic-acid
BRD-A47144777	dihydro-7-desacetyldeoxygedunin
BRD-K97440753	dihydroergocristine
BRD-A65076780	dihydroergocristine
BRD-A44701612	dihydroergocristine
BRD-K72166146	dihydroergotamine
BRD-M19787235	dihydroergotamine
BRD-A54845972	dihydroergotamine
BRD-M15413738	dihydrostreptomycin
BRD-K32645441	dipropyl-5ct
BRD-K40654626	ditiocarb-sodium-trihydrate
BRD-K58930050	dizocilpine-(+)
BRD-K66090100	DMBA
BRD-K03564313	DMNB
BRD-K78567475	dolastatin-10
BRD-K80315159	DPPE
BRD-A38706605	dromostanolone-propionate
BRD-A42264566	EHPG-piperazine
BRD-U08759356	EI-346-erlotinib-analog
BRD-K88759641	EMD-84
BRD-A54236247	racephedrine
BRD-K80115247	epiandrosterone
BRD-K50660797	epicatechin
BRD-K19216856	epigallocatechin
BRD-K55591206	epigallocatechin-gallate-(-)
BRD-A07765530	epinephrine-(racemic)
BRD-A53131506	epitestosterone
BRD-K25836724	epitestosterone
BRD-K16233984	eriochrome-black-t
BRD-K13629382	eseroline-(-)
BRD-A36066264	estradiol-benzoate
BRD-A39747742	estradiol-valerate
BRD-K48195008	ethinyl-estradiol
BRD-A02367930	ethinyl-estradiol
BRD-A43286952	ethinyl-estradiol
BRD-K88969189	ethinylestradiol
BRD-K38756014	farnesylcysteine-methyl-ester
BRD-K14821540	FCCP
BRD-A81615860	fenclonine-(+/-)
BRD-A56470328	fludrocortisone
BRD-K00824317	fludroxycortide
BRD-A49765801	fludroxycortide
BRD-A50064262	flumethasone-pivalate
BRD-K97447442	Fluoro-SAHA
BRD-K13027675	fluorometholone
BRD-A13133631	fluorometholone
BRD-K24255045	fluoxymesterone
BRD-A21490874	fluoxymesterone
BRD-A86044036	flurbiprofen
BRD-K13005598	foxy-5
BRD-K04877770	FTase-inhibitor-B581
BRD-K77245796	gamma-aminobutyric-acid
BRD-K18059238	gamma-linolenic-acid
BRD-A14999564	geranyl-geranyl-pyrophosphate
BRD-K68144790	glycodeoxycholic-acid
BRD-A73859745	glycodeoxycholic-acid
BRD-K06692906	Gossypetin
BRD-K09991945	GSK-3-inhibitor-II
BRD-K04923131	GSK-3-inhibitor-IX
BRD-A39646320	HC-toxin
BRD-K85133207	HDAC1-selective
BRD-A21329147	hemicholinium-3
BRD-K76674262	homoharringtonine
BRD-A24643465	homoharringtonine
BRD-A66435872	HTMT
BRD-K02715688	hydrastine
BRD-K35307346	hydroxycholesterol
BRD-A36707673	hydroxycholesterol
BRD-A98299281	velnacrine
BRD-K14965640	ibuprofen-(S)
BRD-K76630978	IDAM
BRD-K62627508	RG-7388
BRD-K37194137	III606050
BRD-K26373640	IKK-2-inhibitor
BRD-K74305673	IKK-2-inhibitor-V
BRD-K93023739	IKK-inhibitor-X
BRD-K51781482	IKK3-inhibitor-IX
BRD-K19136521	indirubin-3-monoxime
BRD-K01815685	indole-3-carbinol
BRD-K98251413	IOX2
BRD-K51247865	ipragliflozin-l-proline
BRD-K43571060	IQ1
BRD-K33583600	isoliquiritigenin
BRD-K82225283	isosorbide-mononitrate
BRD-K76097666	itdac-1
BRD-A66419424	MLN-9708
BRD-K72541103	JAK3-inhibitor-I
BRD-K95676198	JAK3-inhibitor-V
BRD-K04546108	JAK3-inhibitor-VI
BRD-K62586643	JAS07-001
BRD-K71671265	JAS07-002
BRD-K29198371	JAS07-003
BRD-K17915279	JAS07-004
BRD-K44929916	JAS07-005
BRD-K57285282	JAS07-006
BRD-K33086940	JAS07-007
BRD-K99494806	JAS07-008
BRD-K62493605	JAS07-009
BRD-K54503842	JAS07-010
BRD-K14191038	JFD02227
BRD-K17588104	JQ-1-R
BRD-K54606188	JQ1-(+)
BRD-K82681249	JS-K
BRD-K14482023	K1448
BRD-A76490030	K784-3131
BRD-A39093044	K784-3187
BRD-A72180425	K784-3188
BRD-A59193861	K784-3391
BRD-A80386041	KUC103423N
BRD-A86990971	KUC103424N
BRD-K87483782	KUC103893N
BRD-K88863622	KUC103903N
BRD-K33495169	KUC104235N
BRD-K80184735	KUC104240N
BRD-K85853911	KUC104542N
BRD-K40083016	KUC104547N
BRD-K64302725	KUC105208
BRD-A34037822	KUC107191N
BRD-K16604218	KUC111109N
BRD-K73037408	KUC111774N
BRD-A04020513	l-buthionine-sulfoximine
BRD-K09635134	L-erythro-MAPP
BRD-K33141550	L-NAME
BRD-K99667445	licochalcone-a
BRD-K26011976	licochalcone-a
BRD-A68039575	liquiritigenin
BRD-K20986251	lithocholic-acid
BRD-K04497194	lithocholic-acid
BRD-K69236721	VX-809
BRD-K80672993	M2-PK-activator
BRD-K76274772	MAPP-D-erythro
BRD-K99615199	medroxyprogesterone
BRD-K82216340	medroxyprogesterone
BRD-K12244279	MEK1-2-inhibitor
BRD-K88741031	methyl-2,5-dihydroxycinnamate
BRD-K31477169	methyl-everninic-acid
BRD-K34685430	methylergometrine
BRD-A63667919	methylergometrine
