pert_id	drug_id
BRD-K36638198	felamidin
BRD-K91740057	felbinac
BRD-A71033472	fendiline
BRD-A66284731	fenipentol
BRD-K84566043	fenpiverinium
BRD-K26739552	fenspiride
BRD-K67217586	fenthion
BRD-A33697453	fenticonazole
BRD-K66295376	ferulic-acid
BRD-K61951118	FG-7142
BRD-K48112880	FH-535
BRD-K07160047	fiacitabine
BRD-K57371763	fidaxomicin
BRD-K28667196	fillalbin
BRD-K37688416	fipexide
BRD-A50675702	fipronil
BRD-K89853519	fisetinidol
BRD-A07824748	flavanone
BRD-K47639036	flavoxate
BRD-K61717546	fleroxacin
BRD-K11298197	florfenicol
BRD-K73088654	floxuridine
BRD-K47832606	floxuridine
BRD-A80638690	floxuridine
BRD-A60052764	flucloxacillin
BRD-A13650332	flucloxacillin
BRD-K82143716	flucytosine
BRD-A69777949	flumequine
BRD-K81774264	flumethasone
BRD-K34817515	fluocinolone
BRD-K57886322	fluocinonide
BRD-K47036706	fluocinonide
BRD-K01779529	fluoropyruvate
BRD-K15715913	fluperlapine
BRD-K31611373	fluprostenol
BRD-K58746048	flurandrenolide
BRD-K67445247	flurofamide
BRD-A00218260	flutrimazole
BRD-A49734948	foliosidine
BRD-K44942188	fomocaine
BRD-K59110290	fosamprenavir
BRD-K48461310	fosfomycin
BRD-A96456596	FPL-55712
BRD-K59875992	FPL-62064
BRD-K30990140	FR-122047
BRD-K76587808	fraxetin
BRD-K25662647	FU-JMBII105B
BRD-K61248029	FU-JMBII113B
BRD-K34452916	FU-JMBII127B
BRD-K92895207	FU-JMBII227B
BRD-A83237092	none
BRD-A03249105	ICI-182780
BRD-A67514145	furaltadone
BRD-A35713041	furaltadone
BRD-K65278478	furan
BRD-K11756522	furazolidone
BRD-A71157293	fursultiamine
BRD-A06935312	fusidic-acid
BRD-K43106192	gallamine
BRD-A52922642	gallopamil
BRD-K28217197	ganaxolone
BRD-K22662435	ganciclovir
BRD-K41603276	gangaleoidin
BRD-K77998258	ganglioside
BRD-A47268303	garcinol
BRD-A01645196	garcinol
BRD-A74980173	gatifloxacin
BRD-K81981783	gavestinel
BRD-K49890030	gavestinel
BRD-K92015269	GBR-12783
BRD-K34034388	GBR-12783
BRD-K50135270	GBR-12935
BRD-K68938568	GDC-0152
BRD-A40787240	gemifloxacin
BRD-K28824103	genipin
BRD-A04308630	genipin
BRD-M10279501	gentamicin
BRD-K95402279	geranylgeraniol
BRD-K16263608	GGTI-297
BRD-K26117720	gingerol
BRD-A94702766	ginkgolide-a
BRD-A65550283	ginsenoside
BRD-K34341643	glasdegib
BRD-K70131229	glucosamine
BRD-K85903480	glutamyldopamine
BRD-K16701932	Gly-Gly-PALO
BRD-K73866522	glycerol
BRD-K54771420	glycocholic-acid
BRD-K05485208	gossypin
BRD-A41250203	GP-42
BRD-K83023055	GR-135531
BRD-K00184207	GR-206
BRD-K26005076	gramine
BRD-K92683369	graveoline
BRD-K24943235	grazoprevir
BRD-K08273968	griseofulvin
BRD-K12423485	griseofulvin
BRD-U24835547	GSK-1059615
BRD-K02708799	GSK-1059615
BRD-K06750613	GSK-1059615
BRD-K60341624	GSK-1292263
BRD-K06749501	GSK-1838705A
BRD-K25412176	GSK-2110183
BRD-K42918627	GSK-2126458
BRD-K37590257	GSK-256066
BRD-K49215523	GSK-2636771
BRD-K21867462	GSK-2816126
BRD-K89015388	GSK-923295
BRD-K32847255	GSK-J1
BRD-K82484347	GSK-J2
BRD-K96282009	guaiacol
BRD-A90515964	guaifenesin
BRD-K67847053	guanabenz
BRD-K62676709	guanethidine
BRD-M18219129	guanethidine
BRD-K01980392	guvacine
BRD-K24242599	GW-2580
BRD-K78086729	GW-788388
BRD-K26823213	GW-842166
BRD-K35329391	GZD-824
BRD-A55756846	H-7
BRD-K18742343	H-8
BRD-K05434375	HA-1004
BRD-A18932057	haematoxylin-pentaacetate
BRD-A51964809	halofantrine
BRD-K13238168	haloprogin
BRD-K64517075	heliomycin
BRD-A08709697	heliotrine
BRD-A63998256	helveticoside
BRD-A32988684	heptaminol
BRD-A77050075	heraclenol
BRD-K81209159	herniarin
BRD-K30553453	hesperetin
BRD-K93633846	hesperidin
BRD-K38903228	hesperidin
BRD-K99792991	hexachlorophene
BRD-K10598093	hexamethonium
BRD-K04710043	hexamethylenebisacetamide
BRD-A18605525	hexetidine
BRD-K99946902	hexylresorcinol
BRD-K20526256	HG-14-10-04
BRD-K93747373	HG-5-113-01
BRD-U82589721	HG-5-113-01
BRD-K06569345	HG-5-88-01
BRD-U44700465	HG-5-88-01
BRD-U51024685	HG-6-64-01
BRD-K98762074	HG-6-64-01
BRD-U37049823	HG-6-64-01
BRD-K26760349	HG-9-91-01
BRD-K37691127	hinokitiol
BRD-K71003802	hippeastrine
BRD-K30519779	homoquinolinic-acid
BRD-A34751532	homosalate
BRD-K59570838	homoveratrylamine
BRD-K98493452	honokiol
BRD-K78549347	HTS-11203SC
BRD-K44136596	HTS-12264SC
BRD-K50406511	hycanthone
BRD-A77722753	hydralazine
BRD-A37444045	hydralazine
BRD-K92726801	hydrastinine
BRD-A46186775	hydrocortisone-phosphate
BRD-K37447567	hydrocotarnine
BRD-A06390036	hydroquinidine
BRD-A78295502	hydroquinine
BRD-A70150975	hydroxyl
BRD-K75608666	hydroxytoluic-acid
BRD-K04809113	hydroxytyrosol
BRD-K39330046	hyoscyamine
BRD-K40530731	hyoscyamine
BRD-A78303415	hyoscyamine
BRD-K29673530	hypericin
BRD-K84955386	hyperoside
BRD-K80981391	I-070754
BRD-K86761848	I-070759
BRD-K82857306	I-212148
BRD-K15419449	I-303059
BRD-K94173926	I-505056
BRD-K16533489	I-606051
BRD-K77877933	I-606061
BRD-K35377380	I-OMe-AG-538
BRD-K85383046	IAA-94
BRD-K44771174	ibutamoren
BRD-A06210771	icariin
BRD-K65639003	icariin
BRD-K28167849	ichthynone
BRD-K59433843	ICI-192605
BRD-K52219182	ICI-63197
BRD-K37516142	idebenone
BRD-A85439007	idoxuridin
BRD-K76634210	idoxuridine
BRD-A14344385	IDRA-21
BRD-K51662849	ilomastat
BRD-A78195072	imexon
BRD-A65444648	imidazolidinyl-urea
BRD-K42870217	imipenem
BRD-K07117950	imperatorin
BRD-K74057757	indibulin
BRD-K79353516	indolophenanthridine
BRD-A28787076	inosine
BRD-K43860855	iobenguane
BRD-A37492983	iocetamic-acid
BRD-A08660406	iodixanol
BRD-K88868628	iodoacetic-acid
BRD-K75855670	iodoquinol
BRD-A60217728	iohexol
BRD-A94810754	ionomycin
BRD-K75868704	iopamidol
BRD-A72075775	iopromide
BRD-A65818372	ioversol
BRD-K79124250	ioxaglic-acid
BRD-K93618743	ipriflavone
BRD-K88568253	iproniazid
BRD-K78329127	iriflophenone
BRD-K92678294	irilin-a
BRD-A26845397	isamoltan
BRD-K06762493	isbufylline
BRD-K82181189	ischemin
BRD-K86509404	iso-olomoucine
BRD-A93353767	isoconazole
BRD-A24587114	isoetharine
BRD-K05737787	isoeugenol
BRD-A07704283	isofloxythepin
BRD-A52326238	isogedunin
BRD-K66480997	isoguvacine
BRD-M59543297	isometheptene
BRD-K37606513	isonicotinamide
BRD-K55478147	isonicotinohydroxamic-acid
BRD-A75140635	salsolidine
BRD-K06198550	isorotenone
BRD-A20862232	isosalsoline
BRD-K31616564	isosorbide
BRD-K47178855	isosorbide
BRD-A23067620	itraconazole
BRD-A34817987	itraconazole
BRD-K17476933	ITSA-1
BRD-K24652731	ivermectin
BRD-A48570745	ivermectin
BRD-K82924899	IWP-2
BRD-K83048312	JL-7-128
BRD-A50984182	JMV-431
BRD-K45681478	JMW-MITF1
BRD-K76401790	JNK-IN-5A
BRD-K25837718	josamycin
BRD-K52431530	josamycin
BRD-K94137285	JPR-3-97-17
BRD-K57282030	JW-7-24-1
BRD-U68942961	JW-7-24-1
BRD-K45446451	JZL-184
BRD-K58568447	K-02288
BRD-K99440638	K-9944
BRD-K12807006	kaempferol
BRD-A07815743	kakonein
BRD-K08327065	kanamycin
BRD-A43849199	karakoline
BRD-K70500696	KB188-III-56
BRD-K30912208	KDM-096
BRD-K29358067	KDM-103
BRD-A68045637	kepone
BRD-A77144340	ketocholesterol
BRD-K80353807	khellin
BRD-A45540146	KI-20227
BRD-K02898090	kifunensine
BRD-K44100512	KIN001-043
BRD-K79018442	KIN001-260
BRD-K78790801	KIN001-269
BRD-K24050847	KIN001-270
BRD-K65667145	kinetin
BRD-K94325918	kinetin-riboside
BRD-K96134740	kitasamycin
BRD-K22931010	KM-00519SC
BRD-K87375115	KM-00799
BRD-K85493820	KM-00927
BRD-K10817986	KM-01366
BRD-K36264978	KM-03439
BRD-K68344511	KM-03472SC
BRD-K28120860	KM-03949SC
BRD-A69336132	KM-04501
BRD-A53746180	KM-04644SC
BRD-A38747044	KU-14R
BRD-A71009679	KU-C103420N
BRD-A81402010	KU-C103443N
BRD-A89047717	KU-C103654
BRD-K38483076	KU-C103655
BRD-K24281017	KU-C103656
BRD-K52800308	KU-C103658
BRD-K25190777	KU-C103670
BRD-K49237419	KU-C103671
BRD-K46872340	KU-C103672
BRD-A35020550	KU-C103676
BRD-K65369159	KU-C103853
BRD-K26300881	KU-C103867
BRD-K19609011	KU-C103868
BRD-K02458594	KU-C103869
BRD-K77856555	KU-C103874
BRD-K36533576	KU-C103875
BRD-K92269225	KU-C103881
BRD-K53579868	KU-C103882
BRD-K92559570	KU-C103884
BRD-K36153907	KU-C103885
BRD-K34508425	KU-C103898N
BRD-K65910366	KU-C103904N
BRD-K81365078	KU-C104122
BRD-K39232234	KU-C104123
BRD-K66029294	KU-C104126N
BRD-K14945759	KU-C104127
BRD-K87446239	KU-C104129
BRD-K09138889	KU-C104131
BRD-K82312777	KU-C104132
BRD-K88832793	KU-C104133
BRD-K64822626	KU-C104135
BRD-K05566481	KU-C104137
BRD-K95807833	KU-C104139
BRD-K29143967	KU-C104140
BRD-K43637719	KU-C104141
BRD-K70251741	KU-C104142
BRD-K86086851	KU-C104145
BRD-K87547250	KU-C104218
BRD-K56111351	KU-C104219
BRD-K63326650	KU-C104223
BRD-K19812755	KU-C104224
BRD-K70871370	KU-C104226
BRD-K61981833	KU-C104227
BRD-K96405393	KU-C104228
BRD-K23531129	KU-C104230
BRD-K30606628	KU-C104233
BRD-K14402394	KU-C104236N
BRD-K25320246	KU-C104248
BRD-K02646507	KU-C104250
BRD-K92343999	KU-C104253
BRD-K17023947	KU-C104254
BRD-K91937579	KU-C104255
BRD-K11015688	KU-C104256
BRD-K40373196	KU-C104337
BRD-K51443908	KU-C104486
BRD-K07995125	KU-C104487
BRD-K64409586	KU-C104488
BRD-K50135923	KU-C104491
BRD-K15716662	KU-C104493
BRD-K73044744	KU-C104495
BRD-K24538644	KU-C104502N
BRD-K37057377	KU-C104545N
BRD-A51696495	KW-06
BRD-K41213548	KW-2478
BRD-A31227688	kynuramine
BRD-K85872723	kynurenic-acid
BRD-K89402695	L-655240
BRD-A85472596	L-670596
BRD-K74284736	L-689560
BRD-A28422058	L-689560
BRD-A50934474	L-744832
BRD-A66794241	L-744832
BRD-A14985772	L-ascorbyl-6-palmitate
BRD-A14985772	ascorbyl-palmitate
BRD-A34513497	lacitol
BRD-A71356100	lactotensin
BRD-K02992638	lamivudine
BRD-K36760124	lanatoside-c
BRD-A64242993	lanatoside-c
BRD-K40619305	larixinic-acid
BRD-K10207760	lasalocid
BRD-A72711497	lasalocid
BRD-K40831222	latamoxef
BRD-A19248578	latrunculin-b
BRD-A24817035	laudanosine
BRD-K23583188	lavendustin-a
BRD-K66707493	lawsone
BRD-K18834913	LB-42708
BRD-K08248804	LCL-161
BRD-K20008181	LCQ-908
BRD-K94485812	LDN-57444
BRD-K05446112	ledipasvir
BRD-K61220632	leoidin
BRD-K03289534	lersivirine
BRD-K94288301	letermovir
BRD-K96119599	leucodin
BRD-A75919782	leucovorin
BRD-K73107279	levamisole
BRD-K37264083	levisoprenaline
BRD-K09471561	levofloxacin
BRD-A54635441	levopropoxyphene
BRD-A56085258	LGX-818
BRD-K68693535	lidamidine
BRD-K62996583	lidoflazine
BRD-K64094723	limonin
BRD-K05906022	limonin
BRD-K49384696	lincomycin
BRD-K08973992	linoleic-acid
BRD-K72922393	linsidomine
BRD-K35775715	liranaftate
BRD-K31339321	lirimilast
BRD-A05334458	lisofylline
BRD-M74254599	lithium-chloride
BRD-K15834839	lobendazole
BRD-K55847762	lobenzarit
BRD-K66937583	lodoxamide
BRD-A19918940	lomatin
BRD-A75850590	lomefloxacin
BRD-K62858456	lomerizine
BRD-K66818636	lomifylline
BRD-K51768138	lomustine
BRD-K96670504	lonidamine
BRD-K78513633	lonidamine
BRD-K99451608	lopinavir
BRD-K28935038	loracarbef
BRD-A43082555	loxoprofen
BRD-A71774530	lufenuron
BRD-K71058253	luliconazole
BRD-K99411983	lumicolchicine
BRD-K05236810	luteolin
BRD-K32101625	LX-1031
BRD-K54520417	LXR-623
BRD-K78055238	LY-2090314
BRD-K78055238	ly2090314
BRD-K47557313	LY-2109761
BRD-K34313798	LY-215490
BRD-K78118466	LY-2157299
BRD-K59227464	LY-2228820
BRD-K04993719	LY-2334737
BRD-K13888115	LY-2365109
BRD-K92492521	LY-255283
BRD-K14109347	LY-2603618
BRD-K25630527	LY-2784544
BRD-A12016240	LY-278584
BRD-K18961567	LY-2801653
BRD-K94534639	LY-2811376
BRD-K17203476	LY-2874455
BRD-K17953908	LY-2886721
BRD-K68220839	LY-2979165
BRD-A76229785	lymecycline
BRD-K79224779	lynestrenol
BRD-K27871032	lysergol
BRD-K47328134	lysylphenylalanyl-tyrosine
BRD-K45528773	M-344
BRD-A95445494	maackiain
BRD-A01976766	malathion
BRD-K97884852	malotilate
BRD-K01624185	maltobionic-acid
BRD-K92138166	mammea-a
BRD-A91448670	mandelic-acid
BRD-A35258977	mannitol
BRD-K71926323	marbofloxacin
BRD-K59524082	maribavir
BRD-K36377456	marmesin
BRD-K84943004	MC-1293
BRD-K83336168	MD-040
BRD-K74797618	MD-049
BRD-K92758126	MD-920
BRD-K09854848	MD-II-008-P
BRD-K86472598	MD-II-051
BRD-A63444178	ME-0328
BRD-K96144918	mead-acid
BRD-K09764130	mead-ethanolamide
BRD-K77987382	mebendazole
BRD-M45580279	mebhydrolin
BRD-K41051431	mecillinam
BRD-A45140972	meclocycline
BRD-K10314788	meclofenoxate
BRD-K20655524	mefexamide
BRD-K40645748	mefloquine
BRD-A89585551	mefloquine
BRD-K12002134	megestrol
BRD-K60132694	megestrol
BRD-K51324732	meglitinide
BRD-K28595280	meglumine
BRD-K99338088	melengestrol
BRD-K87827419	melphalan
BRD-A08200164	melphalan
BRD-K78126613	menadione
BRD-A62421304	mepenzolate
BRD-A55469827	mephenesin
BRD-K18194590	mephentermine
BRD-M61872305	mephentermine
BRD-A03216249	mepivacaine
BRD-K65417056	meprylcaine
BRD-A02710418	meptazinol
BRD-A21072306	merbromin
BRD-K91601245	mercaptopurine
BRD-K69726595	mericitabine
BRD-K01612348	meropenem
BRD-K74615293	meropenem
BRD-M40783228	mesna
BRD-K18523449	mestanolone
BRD-A02189320	met-leu-phe
BRD-K16474819	metacetamol
BRD-A42346008	metanephrine
BRD-K96253961	metaraminol
BRD-A94709349	metaxalone
BRD-A38218502	metenkephalin
BRD-K79602928	metformin
BRD-K88679075	methandriol
BRD-K09859624	methantheline
BRD-K30114692	methenamine
BRD-K02764365	methiazole
BRD-K66195174	methoxychlor
BRD-K12437911	methoxypyruvic-acid
BRD-K12683773	methyl-fasudil
BRD-K10103010	methyl-salicylate
BRD-A08062015	methyl-testosterone
BRD-M98379218	methylatropine
BRD-K46531780	methyl-benzethonium
BRD-K82259334	methyl-dopate
BRD-K78321730	methylparaben
BRD-K52560704	methylstat
BRD-K79134921	methyltyramine
BRD-K58265391	meticrane
BRD-A45543382	metrizamide
BRD-A47441220	mevalonic-acid
BRD-A82396632	miconazole
BRD-A03044413	micropenin
BRD-K00532621	midazolam
BRD-A31811760	miltefosine
BRD-A41020680	minocycline
BRD-A69651145	minocycline
BRD-A48237631	mitomycin-c
BRD-K51418664	mitomycin-c
BRD-K18850819	MK-0752
BRD-K29064493	MK-801
BRD-K34722304	MK-801
BRD-K33892651	ML-347
BRD-K68402494	ML-9
BRD-K59317601	MLN-0128
BRD-K43410529	MLN-2480
BRD-K53878242	MMPX
BRD-K56077740	MMPX
BRD-A73605923	mocimycin
BRD-K49372556	mofezolac
BRD-K55375480	monensin
BRD-A43392971	monocrotaline
BRD-A18246003	monoethylhexylphthalate
BRD-K74820615	morantel
BRD-K11590034	morin
BRD-K57291914	moroxydine
BRD-K32412559	morphothebaine
BRD-K61988078	moxidectin
BRD-K66615216	moxifloxacin
BRD-K81144366	moxisylyte
BRD-A30590053	MR-16728
BRD-K10575656	MRS-3777
BRD-K15262564	mupirocin
BRD-K78867378	MW-A1-12
BRD-K32010074	MW-A1-14
BRD-K18025010	MW-A1-18
BRD-K99705204	MW-A1-2
BRD-K03644760	MW-A1-6
BRD-K27688565	MW-MITF22
BRD-K95986273	MW-MITF24
BRD-K03600170	MW-MITF28
BRD-A98349433	MW-MITF9
BRD-K50505048	MW-RAS9
BRD-K14700434	MW-SHH-151
BRD-K19326298	MW-SHH-250
BRD-K37417543	MW-SHH-28
BRD-K25444257	MW-SHH-54
BRD-K92084213	MW-SHH-61
BRD-K11306851	MW-SHH-97
BRD-K73183319	MW-SHH-98
BRD-K69885235	MW-STK33-100
BRD-K22832646	MW-STK33-1A
BRD-K91863345	MW-STK33-1B
BRD-K38340366	MW-STK33-1C
BRD-K05323277	MW-STK33-22
BRD-K06666320	MW-STK33-23
BRD-K30849099	MW-STK33-2A
BRD-K78930611	MW-STK33-2B
BRD-K19300944	MW-STK33-2C
BRD-K34966483	MW-STK33-3A
BRD-K64310881	MW-STK33-3B
BRD-K62683350	MW-STK33-4A
BRD-K03568209	MW-STK33-4C
BRD-K46625679	MW-STK33-97
BRD-A76279427	myriocin
BRD-K35553576	n-bromoacetyltryptamine
BRD-K16828188	n-methylphenothiazine
BRD-K24610782	n-nitrosodiethylamine
BRD-A11132253	nadide
BRD-A24397426	nadifloxacin
BRD-K06674495	nafamostat
BRD-K30682080	nafcilline
BRD-A67862938	naftidrofuryl
BRD-K74141488	naftifine
BRD-K43813806	naftifine
BRD-A01787639	naftopidil
BRD-K47886988	nalidixic-acid
BRD-A54445976	napelline
BRD-K77641333	naphazoline
BRD-K87122641	naringeninic-acid
BRD-K02953697	naringin
BRD-K38287497	narlaprevir
BRD-K59406868	NCI-16221
BRD-A78877355	nefopam
BRD-K84466663	nelarabine
BRD-K71013094	neomycin
BRD-K03568070	nerol
BRD-K79989959	nesbuvir
BRD-K22631935	neurodazine
BRD-K31086665	NH-125
BRD-K12102668	nialamide
BRD-A86871940	nicaraven
BRD-K97752965	nicorandil
BRD-K32311154	nifekalant
BRD-K47407372	nifenazone
BRD-K68188368	nifuroxazide
BRD-K26104851	nifuroxazide
BRD-A00100033	nifurtimox
BRD-K91544578	nikethamide
BRD-A74771556	nikkomycin
BRD-K53123955	niridazole
BRD-K96471533	nitazoxanide
BRD-A60583491	nitrarine
BRD-K53815609	nitrofural
BRD-K76927775	nitrofurantoin
BRD-K84011460	nizofenone
BRD-A50796384	NK26-I-41-1
BRD-A64811980	NK42-I-109-1
BRD-K78278890	NM-PP1
BRD-K78122587	NNC-55-0396
BRD-K12539581	nocodazole
BRD-A09161221	nomilin
BRD-A57905915	norcitalopram
BRD-K63165456	norcyclobenzaprine
BRD-K32696739	noreleagnine
BRD-K11196887	norfloxacin
BRD-K74741811	norgestrel
BRD-A14886633	norgestrel
BRD-A50928468	norgestrel
BRD-A24543851	nornicotine
BRD-K85307935	novobiocin
BRD-A47633927	NPC-15199
BRD-A68739437	NPK76-II-72-1
BRD-K59637651	NSC-119889
BRD-A80213327	NSC-23766
BRD-K64874225	NSC-4644
BRD-K62949423	NSC-625987
BRD-K56450366	NSC-94258
BRD-K74371986	NSI-189
BRD-K03294269	NU-6027
BRD-K21025364	NVP-TAE226
BRD-K46133855	NXY-059
BRD-A56702968	nystatin
BRD-K18316707	O-1918
BRD-K39944607	ochratoxin-a
BRD-K22097830	OCO-1112
BRD-A14240607	octopamine
BRD-A24228527	ofloxacin
BRD-K92303087	oglemilast
BRD-A41112154	oleanolic-acid
BRD-K83144676	olmesartan
BRD-K86972824	oltipraz
BRD-K21971034	OM-137
BRD-K48830578	OMDM-2
BRD-A39522003	OMDM-2
BRD-K60446698	ONX-0914
BRD-K43786866	opipramol
BRD-A36331462	oprozomib
BRD-K67068943	ORE-1001
BRD-K41434598	ORG-9768
BRD-A42759514	ornidazole
BRD-A53576514	orphenadrine
BRD-K95788524	orthothymotinic-acid
BRD-K93767137	oseltamivir-carboxylate
BRD-K76011241	oseltamivir-phosphate
BRD-K78294846	osthol
BRD-K53417444	OTS-167
BRD-K43471985	OTX-015
BRD-K96786677	oxacillin
BRD-K14221870	oxamflatin
BRD-K66019333	oxantel
BRD-M41106164	oxantel
BRD-A69592287	oxetane
BRD-A33447119	oxfendazole
BRD-K56104152	oxiconazole
BRD-K23369905	oxiconazole
BRD-K88538023	oxiconazole
BRD-K41809988	oxidopamine
BRD-K78096648	oxiperomide
BRD-K42596464	oxolamine
BRD-K73394555	oxolinic-acid
BRD-K21936341	oxotremorine
BRD-K59037100	oxybenzone
BRD-K04185004	oxybuprocaine
BRD-A33749298	oxyphenbutazone
BRD-K66808046	oxyquinoline
BRD-A22740840	oxytetracycline
BRD-K97714174	P-22077
BRD-K13606314	P-5091
BRD-K91862102	p-aminophenethylspiperone
BRD-K96671969	PA-824
BRD-K58466253	palmatine-chloride
BRD-K87210992	pancuronium
BRD-A84134924	pancuronium
BRD-K29392254	pantothenic-acid
BRD-K40992116	parachlorophenol
BRD-K24084088	paraxanthine
BRD-A99314711	paromomycin
BRD-A66395008	parthenolide
BRD-K98548675	parthenolide
BRD-K81651477	parthenolide
BRD-K04949373	parthenolide
BRD-A78909648	PATI-1-2-3
BRD-K66412701	pazufloxacin
BRD-K62456038	PD-128907
BRD-A92148199	PD-149163
BRD-K26603252	PD-153035
BRD-K47761761	PD-168077
BRD-K17702546	PD-168393
BRD-K77133231	PD-169316
BRD-K55034111	pefloxacin
BRD-K31731454	pemirolast
BRD-A80793822	pemoline
BRD-K71075093	pempidine
BRD-K47780086	penciclovir
BRD-K15409150	penfluridol
BRD-A43150328	penicillic-acid
BRD-K48519456	penicillin
BRD-A84702196	penicillin
BRD-K50711164	pentachlorophenol
BRD-K13183738	pentamidine
BRD-K40621224	pentetic-acid
BRD-K44942604	pentolinium
BRD-K57718010	pentylenetetrazol
BRD-K13571841	pepstatin
BRD-A45333398	periplocymarin
BRD-A57089740	peruvoside
BRD-K72034655	peucedanin
BRD-K61691541	PF-03084014
BRD-K68747584	PF-03814735
BRD-K94420399	PF-04136309
BRD-K93788137	PF-431396
BRD-K79239947	PF-573228
BRD-K13094524	PFI-1
BRD-A70268693	PG-9
BRD-K50000283	PHA-767491
BRD-K46937689	phenazone
BRD-K76304753	phenazopyridine
BRD-K11399644	phenformin
BRD-K19227686	phenolphthalein
BRD-K59597909	phenothiazine
BRD-K01160827	phenothiazine
BRD-A22106989	phenothrin
BRD-K53595844	phenoxazine
BRD-K22009844	phenprobamate
BRD-A18043272	phensuximide
BRD-K73157543	phenyl-aminosalicylate
BRD-K70592483	phenylacetylglutamine
BRD-K22337096	phenylalanyltyrosine
BRD-K67102207	phenylbutyrate
BRD-K15563106	phloretin
BRD-K64659768	phthalylsulfathiazole
BRD-A55815733	phylloquinone
BRD-K97365803	PI-828
BRD-K17026858	pibenzimol
BRD-K26241953	piceatannol
BRD-K91509126	piceatannol
BRD-K01029106	picolinic-acid
BRD-K44442813	pidotimod
BRD-K99818283	PIK-90
BRD-A85548292	piketoprofen
BRD-K49456274	pilaralisib
BRD-K88090157	pimethixene
BRD-A69275535	pinitol
BRD-K94689771	pinocembrin
BRD-K08999871	pipemidic-acid
BRD-K16277217	piperacetazine
BRD-K39397585	piperacillin
BRD-K86873305	piperacillin
BRD-K13249881	piperazine
BRD-K24132293	piperlongumine
BRD-K76452401	piperonyl-butoxide
BRD-K19456237	piracetam
BRD-K65992024	pirenoxine
BRD-K37682401	piromidic-acid
BRD-K69260336	pivampicillin
BRD-K54978501	pivmecillinam
BRD-K67100011	pivmecillinam
BRD-K11853856	PJ-34
BRD-K36137799	plumbagin
BRD-A95096829	PNU-96415E
BRD-K47598052	PP-1
BRD-K03618428	PP-110
BRD-K16977723	PP-3
BRD-A64610707	pranoprofen
BRD-A21858158	praziquantel
BRD-K70504303	prednisolone
BRD-A27887842	prednisolone
BRD-K82481048	prednisolone
BRD-K52183142	pregnenolone
BRD-K39356024	pregnenolone
BRD-K43880410	pregnenolone
BRD-K35862502	pregnenolone
BRD-A35054627	pregnenolone
BRD-A35912562	pregnenolone-succinate
BRD-A10662413	prenylamine
BRD-K17565903	pridinol
BRD-A55913614	primaquine
BRD-K25204779	pritelivir
BRD-K13032584	procarbazine
BRD-A31800922	procyclidine
BRD-K28183345	proguanil
BRD-K99029477	prometon
BRD-K84265381	propanoic-acid
BRD-K14821965	propidium
BRD-K18250272	propoxycaine
BRD-K91145395	prostratin
BRD-K97863768	prothionamide
BRD-K79116891	proxymetacaine
BRD-A28887267	proxyphylline
BRD-K57546357	prunetin
BRD-K99092662	PS-178990
BRD-K84175871	pseudoephedrine
BRD-A19053259	pseudopelletierine
BRD-K61923775	PSH-003
BRD-K90207583	PSH-008
BRD-K82115270	PSH-010
BRD-K02113384	PSH-012
BRD-K54568510	PSH-013
BRD-K59429476	PSH-021
BRD-K97666802	PSH-022
BRD-K95934080	PSH-023
BRD-K79522882	PSH-024
BRD-K84284996	PSH-025
BRD-K82566177	PSH-026
BRD-K67880862	PSH-027
BRD-K65741250	PSH-028
BRD-K07798980	PSI-6130
BRD-K04170657	psoromic-acid
BRD-A28970875	puromycin
BRD-K36007650	puromycin
BRD-K63072637	pyrantel
BRD-K61693562	pyrazinoylguanidine
BRD-K14349461	pyridoxine
BRD-K88429204	pyrimethamine
BRD-K36116267	pyrithyldione
BRD-K11663430	pyroxamide
BRD-M08470251	pyrvinium
BRD-K72636697	QL-X-138
BRD-U33728988	QL-X-138
BRD-K24515980	QL-XI-92
BRD-U73238814	QL-XI-92
BRD-K99252563	QL-XII-47
BRD-U86922168	QL-XII-47
BRD-K66792149	quinoclamine
BRD-K77925998	quipazine
BRD-K40782193	QX-222
BRD-K56596464	QX-314
BRD-K52233191	R-547
BRD-A86414188	ractopamine
BRD-K84683831	radezolid
BRD-K33551950	radicicol
BRD-A39996500	radicicol
BRD-A39996500	monorden
BRD-K93123848	RAF-265
BRD-K05658747	raltegravir
BRD-K85333151	ramifenazone
BRD-K50493736	RAN-02
BRD-K11758216	RAN-03
BRD-K28610502	RAN-05
BRD-K98381590	RAN-07
BRD-K36977165	RAN-14A
BRD-K29699988	RAN-14B
BRD-K05114711	RAN-27
BRD-K06585517	RAN-29
BRD-K81925089	RAN-30
BRD-A74642112	rathyronine
BRD-K19885561	RDR-01440SC
BRD-A15909516	rebamipide
BRD-K32755366	reserpic-acid
BRD-A83431637	resmethrin
BRD-K85603128	resorcinol
BRD-K74190368	resorcinol
BRD-K17930269	retapamulin
BRD-K42142750	retrorsine
BRD-K82688027	RG-13022
BRD-K02389548	RG-2833
BRD-K22024824	RG-4733
BRD-K10098805	rhapontin
BRD-K56047318	RHC-80267
BRD-K27335680	rhein
BRD-A17016119	rhizocarpic-acid
BRD-K13725475	rhodomyrtoxin
BRD-A08003242	rhodomyrtoxin-b
BRD-K70246307	riboflavin
BRD-K92760278	riboflavin
BRD-A58837096	ribostamycin
BRD-K82561139	ricinine
